Resistance-Type;Gene	DSgene	Sample	Abundance
Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6231011	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR13554778	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546449	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8797411	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546452	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512248	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR4389122	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8797412	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281034	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281035	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR13554775	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281029	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844737	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR13662870	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR12918152	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6213885	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638367	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR4389352	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512250	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844785	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR9644739	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR2191546	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR9644740	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512251	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546453	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR10419845	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2090170	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR13554773	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281033	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638366	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844738	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844740	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512249	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11614988	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546454	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2090166	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6213120	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6212576	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512246	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6211631	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281028	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844736	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638365	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844784	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8797414	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512245	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR9644741	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11614986	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR9644742	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR4388077	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281026	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR10992210	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546450	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281040	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281022	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2090174	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR4388699	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11844739	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR4388080	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281021	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281041	1

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546456	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281025	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR12918151	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2090169	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6208705	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281038	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8797413	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638370	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638363	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281039	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6209370	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11600163	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR12666050	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638368	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281031	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2090164	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546451	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546457	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR12926096	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281037	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11600161	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR7912025	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281023	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638364	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281036	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281032	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281030	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR10992209	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512247	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281024	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11600162	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6213089	1

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281027	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638369	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6231011	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR13554778	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546449	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8797411	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546452	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512248	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR4389122	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8797412	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281034	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281035	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR13554775	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281029	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844737	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR13662870	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR12918152	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6213885	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638367	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR4389352	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512250	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844785	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR9644739	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR2191546	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR9644740	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512251	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546453	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR10419845	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2090170	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR13554773	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281033	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638366	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844738	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844740	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512249	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11614988	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546454	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2090166	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6213120	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6212576	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512246	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6211631	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281028	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844736	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638365	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844784	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8797414	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8512245	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR9644741	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11614986	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR9644742	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR4388077	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281026	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR10992210	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546450	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281040	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281022	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2090174	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR4388699	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11844739	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR4388080	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281021	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281041	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR3546456	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281025	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR12918151	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2090169	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6208705	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281038	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR8797413	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638370	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR2638363	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	ERR3281039	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR6209370	0

Beta-Lactam Resistance;blaTEM	 blaTEM-215_1_KP050492	SRR11600163	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR12666050	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638368	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281031	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2090164	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546451	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546457	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR12926096	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281037	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11600161	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR7912025	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281023	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638364	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281036	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281032	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281030	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR10992209	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512247	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281024	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11600162	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6213089	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281027	1

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638369	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6231011	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR13554778	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546449	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8797411	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546452	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512248	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR4389122	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8797412	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281034	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281035	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR13554775	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281029	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844737	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR13662870	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR12918152	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6213885	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638367	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR4389352	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512250	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844785	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR9644739	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR2191546	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR9644740	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512251	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546453	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR10419845	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2090170	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR13554773	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281033	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638366	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844738	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844740	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512249	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11614988	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546454	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2090166	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6213120	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6212576	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512246	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6211631	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281028	1

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844736	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638365	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844784	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8797414	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8512245	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR9644741	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11614986	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR9644742	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR4388077	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281026	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR10992210	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546450	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281040	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281022	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2090174	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR4388699	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11844739	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR4388080	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281021	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281041	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR3546456	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281025	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR12918151	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2090169	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6208705	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281038	1

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR8797413	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638370	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR2638363	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	ERR3281039	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR6209370	0

Beta-Lactam Resistance;blaOXA	 blaOXA-540_1_KJ138219	SRR11600163	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR12666050	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR2638368	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281031	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR2090164	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR3546451	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR3546457	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR12926096	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281037	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR11600161	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR7912025	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281023	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR2638364	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281036	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281032	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281030	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR10992209	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR8512247	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281024	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR11600162	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	SRR6213089	0

Beta-Lactam Resistance;blaOXA	 blaOXA-129_1_FJWZ01000025	ERR3281027	0
